sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.8912100576043319
6.9,3.1,5.1,2.3,virginica,0.9393469975835725
5.1,2.5,3.0,1.1,versicolor,0.8567091214123937
4.4,2.9,,0.2,setosa,0.8008832692227265
5.9,3.0,5.1,1.8,virginica,0.679220544107849
5.5,3.5,1.3,0.2,setosa,0.9628411214673226
5.6,,3.6,1.3,versicolor,0.8328635929583091
6.5,3.0,5.2,2.0,virginica,0.8539161902157909
5.3,3.7,1.5,0.2,setosa,0.9836143823190481
5.1,3.4,1.5,,setosa,0.8876223735402927
6.1,2.8,4.0,1.3,versicolor,0.9146242131999831
5.5,2.4,3.7,1.0,versicolor,0.9457857360884145
7.7,3.0,6.1,2.3,virginica,0.9881999300363873
6.9,3.1,4.9,1.5,versicolor,0.683070239631009
6.0,2.2,5.0,1.5,virginica,0.5896452918495807
